,pred,lower_bound,upper_bound,pred_round,SKU,LOC,Venta_real
2019-06-19,0.31481481481481477,0.0,1.0,0.0,Art10,LOC_002,1.0
2019-06-10,0.1923076923076923,0.0,1.0,0.0,Art09,LOC_002,0.0
2019-06-11,0.1923076923076923,0.0,1.0,0.0,Art09,LOC_002,0.0
2019-06-12,0.17307692307692307,0.0,1.0,0.0,Art09,LOC_002,0.0
2019-06-13,0.17307692307692307,0.0,1.0,0.0,Art09,LOC_002,1.0
2019-06-14,0.17307692307692307,0.0,1.0,0.0,Art09,LOC_002,0.0
2019-06-15,0.17307692307692307,2.7755575615628914e-17,1.0,0.0,Art09,LOC_002,0.0
2019-06-16,0.15384615384615385,0.0,1.0,0.0,Art09,LOC_002,1.0
2019-06-17,0.15384615384615388,2.7755575615628914e-17,1.0,0.0,Art09,LOC_002,0.0
2019-06-18,0.13461538461538464,0.0,1.0,0.0,Art09,LOC_002,1.0
2019-06-12,0.16071428571428573,0.0,1.0,0.0,Art04,LOC_002,0.0
2019-06-13,0.16071428571428573,2.7755575615628914e-17,1.0,0.0,Art04,LOC_002,0.0
2019-06-14,0.16071428571428573,0.0,1.0,0.0,Art04,LOC_002,0.0
2019-06-15,0.14285714285714285,0.0,2.0,0.0,Art04,LOC_002,0.0
2019-06-16,0.14285714285714285,0.0,2.0,0.0,Art04,LOC_002,1.0
2019-06-17,0.10714285714285714,0.0,1.0,0.0,Art04,LOC_002,2.0
2019-06-18,0.08928571428571429,0.0,1.0,0.0,Art04,LOC_002,2.0
2019-06-19,0.0892857142857143,2.7755575615628914e-17,1.0,0.0,Art04,LOC_002,0.0
2019-06-20,0.0892857142857143,2.7755575615628914e-17,1.0,0.0,Art04,LOC_002,2.0
